,EOSUSDT,GLMRUSDT,spread,zscore
166,0.575,0.16893,0.0057058999999999305,1.5168264160376332
167,0.58,0.1707,0.004740999999999995,1.0542241075370382
168,0.581,0.1704,0.00675199999999998,1.5801035347494155
169,0.578,0.16969,0.006144699999999892,1.255188509754102
170,0.578,0.16958,0.006515399999999949,1.2095671019693817
171,0.575,0.16895,0.005638499999999991,0.7910955467108479
172,0.578,0.16907,0.008234099999999911,1.462798501111444
173,0.571,0.16695,0.008378499999999955,1.2977725236147843
174,0.569,0.16755,0.004356499999999874,0.03096939796153658
175,0.572,0.16751,0.0074912999999999785,0.98467097481016
176,0.571,0.16831,0.003795299999999946,-0.2458544788507829
177,0.574,0.16798,0.007907400000000009,0.9795546936666978
178,0.574,0.16755,0.009356499999999879,1.3333623143788491
179,0.572,0.16742,0.007794599999999874,0.6863289427024836
180,0.571,0.1673,0.0071989999999999554,0.3316611292829212
181,0.57,0.16724,0.006401199999999885,-0.19742591398020434
182,0.576,0.16742,0.011794599999999877,2.354363883453301
183,0.576,0.16734,0.01206419999999997,1.9497839155227745
184,0.579,0.16721,0.015502299999999969,2.3988210899561597
185,0.579,0.16743,0.014760899999999966,1.7494398407152811
186,0.578,0.16789,0.012210699999999908,0.8854234112256123
187,0.578,0.16837,0.010593100000000022,0.37104102219911483
188,0.582,0.16894,0.012672199999999911,0.8648876669925621
189,0.585,0.16915,0.014964499999999936,1.3331882508957669
190,0.581,0.16822,0.014098599999999961,0.9497708367145954
191,0.58,0.16823,0.013064899999999935,0.5677565797579629
192,0.58,0.16767,0.014952099999999913,1.049178005941578
193,0.577,0.16763,0.0120868999999999,0.026314392589072543
194,0.578,0.16818,0.011233399999999949,-0.37739376587378404
195,0.581,0.16828,0.01389639999999992,0.5265748094129481
196,0.58,0.1683,0.01282899999999998,-0.19005607775283737
197,0.581,0.16843,0.013390899999999983,0.11612602827474909
198,0.58,0.16875,0.011312499999999948,-1.2272277966629623
199,0.579,0.16962,0.007380599999999959,-2.6289349431818523
